hotel_name,location,county_or_region,country,description,price_range,amenities,room_types,rating,review_summary,nearby_attractions,hotel_category,contact_information,website_url,image_url,latitude,longitude,source_url,formatted_address
Bandari Hotel,Mombasa,Mvita,Kenya,,,,,,,,Hotel,,,,-4.0616037,39.6591359,https://www.openstreetmap.org,"Bandari Hotel, Sauti Ya Kenya Road, Ganjoni, Liwatoni, Ganjoni/Shimanzi ward, Mvita, Mombasa, 80107, Kenya"
Sai Rock Beach,Mombasa,Kisauni,Kenya,,,,,,,,Hotel,,,,-4.0001212,39.7300122,https://www.openstreetmap.org,"Sai Rock Beach, Malindi Road, Dolphin, Shanzu, Bamburi, Shanzu ward, Kisauni, Mombasa, 80295, Kenya"
Le Grand Victoria Hotel,Mombasa,Nyali,Kenya,,,,,,,,Hotel,,,,-4.0068874,39.7092952,https://www.openstreetmap.org,"Le Grand Victoria Hotel, Old Malindi Road, Kiembeni, Utange, Kadzandani ward, Nyali, Mombasa, 80100, Kenya"
New people hotel,Mombasa,Mvita,Kenya,,,,,,,,Hotel,,,,-4.0546158,39.6727262,https://www.openstreetmap.org,"New people hotel, Abdel Nasser Road, Kikowani, Mombasa, Tononoka ward, Mvita, Mombasa, 80100, Kenya"
Pundamilia Paradise,Mombasa,Kisauni,Kenya,,,,,,,,Hotel,,,,-3.9736337,39.741028,https://www.openstreetmap.org,"Pundamilia Paradise, Malindi Road, Dolphin, Shanzu, Bamburi, Shanzu ward, Kisauni, Mombasa, 80295, Kenya"
Sentido,Mombasa,Kisauni,Kenya,,,,,,,,Hotel,,,,-3.9844964,39.7379429,https://www.openstreetmap.org,"Sentido, Malindi Road, Dolphin, Shanzu, Bamburi, Shanzu ward, Kisauni, Mombasa, 80295, Kenya"
Azul Margarita,Mombasa,Kisauni,Kenya,,,,,,,,Hotel,,,,-4.0017073,39.7292506,https://www.openstreetmap.org,"Azul Margarita, Malindi Road, Dolphin, Shanzu, Bamburi, Shanzu ward, Kisauni, Mombasa, 80295, Kenya"
Pivot Hotel And Fitness Centre,Nakuru,Nakuru West,Kenya,,,,,,,,Hotel,,,,-0.2944759,36.0600894,https://www.openstreetmap.org,"Pivot Hotel And Fitness Centre, Lower Bedi Road, Shabab, Gilani, Shabab, Shabab ward, Nakuru, Nakuru West, Nakuru, 20100, Kenya"
Epashikino Resort,Nakuru,Gilgil,Kenya,,,,,,,,Hotel,,,,-0.4450821,36.2727209,https://www.openstreetmap.org,"Epashikino Resort, Old Nairobi Road, Mbaruk sublocation, Greensteads, Gilgil ward, Gilgil, Nakuru, 20101, Kenya"
Eagle palace,Nakuru,Nakuru East,Kenya,,,,,,,,Hotel,,,,-0.2881092,36.0749652,https://www.openstreetmap.org,"Eagle palace, Oginga Odinga Avenue, Biashara, Biashara ward, Nakuru, Nakuru East, Nakuru, 20100, Kenya"
Hotel Horns,Nakuru,Gilgil,Kenya,,,,,,,,Hotel,,,,-0.498032,36.3121622,https://www.openstreetmap.org,"Hotel Horns, Eburru Road, Eburu sublocation, Gema, Mbaruk/Eburu ward, Gilgil, Nakuru, 20116, Kenya"
Golden Palace,Nakuru,Nakuru East,Kenya,,,,,,,,Hotel,,,,-0.3013789,36.0722865,https://www.openstreetmap.org,"Golden Palace, Kanu Street, Langa Langa, Biashara ward, Nakuru, Nakuru East, Nakuru, 20100, Kenya"
Aquarius beach,Watamu,Kilifi North,Kenya,,,,,,,,Hotel,,,,-3.3529882,40.0172796,https://www.openstreetmap.org,"Aquarius beach, Kanani Road, Watamu, Kilifi North, Kilifi, 80202, Kenya"
Mimi na Wewe ...in Africa!,Watamu,Kilifi North,Kenya,,,,,,,,Hotel,,,,-3.3462384,40.0118709,https://www.openstreetmap.org,"Mimi na Wewe ...in Africa!, Sawa Sawa Road, Watamu, Kilifi North, Kilifi, 80202, Kenya"
Hemingways,Watamu,Kilifi North,Kenya,,,,,,,,Hotel,,,,-3.3485509,40.0223558,https://www.openstreetmap.org,"Hemingways, Kanani Road, Watamu, Kilifi North, Kilifi, 80202, Kenya"
Peponi Watamu,Watamu,Kilifi North,Kenya,,,,,,,,Hotel,,,,-3.3518458,40.0205418,https://www.openstreetmap.org,"Peponi Watamu, Watamu Village Road, Watamu, Kilifi North, Kilifi, 80202, Kenya"
Mbu,Watamu,Kilifi North,Kenya,,,,,,,,Hotel,,,,-3.3552335,40.0198596,https://www.openstreetmap.org,"Mbu, Watamu Beach Road, Watamu ward, Kilifi North, Kilifi, 80202, Kenya"
Dorado cottage,Malindi,Malindi,Kenya,,,,,,,,Hotel,,,,-3.249962,40.1265238,https://www.openstreetmap.org,"Dorado cottage, Marine Park Road, Malindi, Kilifi, 80200, Kenya"
All Season Hotel,Malindi,Unguja Mjini Magharibi,Tanzania,,,,,,,,Hotel,,,,-6.1588552,39.1936067,https://www.openstreetmap.org,"All Season Hotel, Malindi Street, Kokoni, Malindi, Mjini, Unguja Mjini Magharibi, Zanzibar زنجبار, 71103, Tanzania"
Pyramid Hotel,Malindi,Unguja Mjini Magharibi,Tanzania,,,,,,,,Hotel,,,,-6.1596005,39.1931129,https://www.openstreetmap.org,"Pyramid Hotel, Malindi Street, Kokoni, Malindi, Mjini, Unguja Mjini Magharibi, Zanzibar زنجبار, 71103, Tanzania"
Park Side Hotel,Kisumu,Kisumu,Kenya,,,,,,,,Hotel,,,,-0.0802625,34.7714922,https://www.openstreetmap.org,"Park Side Hotel, P208, Obunga-sega Sega, Tom Mboya Estate, Nyawita sublocation, Kisumu Central, Kisumu, City of Kisumu, Kisumu, 40100, Kenya"
Summerlake,Kisumu,Kisumu,Kenya,,,,,,,,Hotel,,,,-0.1142246,34.7624384,https://www.openstreetmap.org,"Summerlake, Ring Road, Kachok, Milimani, Southern sublocation, Kisumu Central, Kisumu, City of Kisumu, Kisumu, 40141, Kenya"
Victoria Comfort Inn,Kisumu,Kisumu,Kenya,,,,,,,,Hotel,,,,-0.0830216,34.7660519,https://www.openstreetmap.org,"Victoria Comfort Inn, Bypass Highway, Kamakowa, Kondele, Nyawita sublocation, Kisumu Central, Kisumu, City of Kisumu, Kisumu, 40100, Kenya"
Acacia Premier Hotel,Kisumu,Kisumu,Kenya,,,,,,,,Hotel,,https://www.acaciapremier.com/,,-0.1072593,34.7518087,https://www.openstreetmap.org,"Acacia Premier Hotel, Achieng Oneko Road, Civil Servants, Milimani, Southern sublocation, Kisumu Central, Kisumu, City of Kisumu, Kisumu, 40141, Kenya"
silver swan hotel,Kisumu,Kisumu,Kenya,,,,,,,,Hotel,,,,-0.0788986,34.7843142,https://www.openstreetmap.org,"Boom Mart, P241, CarWash, Migosi, Kisumu Central, Kisumu, City of Kisumu, Kisumu, 40103, Kenya"
Napolitana Hotel,Nanyuki,Laikipia East,Kenya,,,,,,,,Hotel,,,,0.0050167,37.0725999,https://www.openstreetmap.org,"Napolitana Hotel, Nyeri-Nanyuki Road, Nanyuki, Laikipia East, Laikipia, 10400, Kenya"
Beisa,Nanyuki,Laikipia East,Kenya,,,,,,,,Hotel,,,,0.0037622,37.0701967,https://www.openstreetmap.org,"Beisa, Nyeri-Nanyuki Road, Nanyuki, Laikipia East, Laikipia, 10400, Kenya"
Maxoil Hotel,Nanyuki,Laikipia East,Kenya,,,,,,,,Hotel,,,,0.0099106,37.0760923,https://www.openstreetmap.org,"Maxoil Hotel, Nyeri-Nanyuki Road, Nanyuki, Laikipia East, Laikipia, 10400, Kenya"
Joskaki,Nanyuki,Laikipia East,Kenya,,,,,,,,Hotel,,,,0.0145872,37.0771257,https://www.openstreetmap.org,"Joskaki, Lumumba Road, Nanyuki, Laikipia East, Laikipia, 10400, Kenya"
Petleys Inn,Lamu,Lamu West,Kenya,,,,,,,,Hotel,,,,-2.2677379,40.9022522,https://www.openstreetmap.org,"Petleys Inn, Corniche path, Lamu, Lamu West, Lamu, Kenya"
Yumbe Villa,Lamu,Lamu West,Kenya,,,,,,,,Hotel,,,,-2.2686334,40.9014407,https://www.openstreetmap.org,"Yumbe Villa, Corniche path, Mkomami ward, Lamu West, Lamu, Kenya"
Hanley house,Lamu,Lamu West,Kenya,,,,,,,,Hotel,,,,-2.2958934,40.9151878,https://www.openstreetmap.org,"Hanley house, Corniche Path, Shela, Shella ward, Lamu West, Lamu, Kenya"
Kijani hotel,Lamu,Lamu West,Kenya,,,,,,,,Hotel,,https://kijani-lamu.com/,,-2.2921086,40.914399,https://www.openstreetmap.org,"Kijani hotel, Corniche Path, Shela, Lamu, Lamu West, Lamu, Kenya"
Stop Over Guest House,Lamu,Lamu West,Kenya,,,,,,,,Hotel,,,,-2.2642217,40.9003167,https://www.openstreetmap.org,"Stop Over Guest House, Corniche Path, Lamu, Lamu West, Lamu, Kenya"
Havenna Lodge,Arusha,Arusha,Tanzania,,,,,,,,Hotel,,,,-3.3601199,35.7994806,https://www.openstreetmap.org,"Havenna Lodge, B144, Gongali, Qurus, Rhotia, Karatu, Arusha, Northern Zone, 15867, Tanzania"
Ilboru Safari Lodge,Arusha,Arusha,Tanzania,,,,,,,,Hotel,,,,-3.3494086,36.6874109,https://www.openstreetmap.org,"Ilboru Safari Lodge, Ilboru Road, Ilboru, Arusha, Northern Zone, 23103, Tanzania"
Bougainvillea Safari Lodge,Arusha,Arusha,Tanzania,,,,,,,,Hotel,,,,-3.3380177,35.6595648,https://www.openstreetmap.org,"Bougainvillea Safari Lodge, B144, Gongali, Qurus, Rhotia, Karatu, Arusha, Northern Zone, 23601, Tanzania"
Moon Shine Hotel,Arusha,Arusha,Tanzania,,,,,,,,Hotel,,,,-3.355057,36.6816627,https://www.openstreetmap.org,"Moon Shine Hotel, South manda Street, Kiranyi, Arusha, Northern Zone, 23104, Tanzania"
Lobobu Guest House,Arusha,Arusha,Tanzania,,,,,,,,Hotel,,,,-3.3379211,35.6709856,https://www.openstreetmap.org,"Lobobu Guest House, 23, Malindi Street, Karatu, Arusha, Northern Zone, 23601, Tanzania"
Tanzanite City Park Lodge,Arusha,Arusha,Tanzania,,,,,,,,Hotel,,,,-3.3671303,36.7163281,https://www.openstreetmap.org,"Tanzanite City Park Lodge, T2, Kwa Mrefu, Baraa, Ngulelo, Arusha Municipal, Arusha, Northern Zone, 23110, Tanzania"
Olduvai Camp,Arusha,Arusha,Tanzania,,,,,,,,Hotel,+255782993854,https://www.olduvai-camp.com/,,-3.0350102,35.2834165,https://www.openstreetmap.org,"Olduvai Camp, Kiloki Track, Ormekeke, Ngorongoro, Arusha, Northern Zone, Tanzania"
Chez johnson Hotel,Kampala,Kampala Capital City,Uganda,,,,,,,,Hotel,,,,0.3009007,32.6083013,https://www.openstreetmap.org,"Chez johnson Hotel, St. Barnabas Road, Kisugu, Kansanga, Makindye, Kampala Capital City, Kampala, Central Region, Uganda"
Holiday Express Hotel,Kampala,Kampala Capital City,Uganda,,,,,,,,Hotel,+256414253451,https://www.holidayexpresshotel.com/,,0.3125059,32.5793513,https://www.openstreetmap.org,"Holiday Express Hotel, Dastur Street, Kisenyi, Central, Kampala Capital City, Kampala, Central Region, Uganda"
